"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.87812500000E+006, -5.92523013843E-003, +0.00000000000E+000
+6.94000000000E+006, -7.82502770490E-003, +0.00000000000E+000
+7.00187500000E+006, -6.39855326600E-003, +0.00000000000E+000
+7.06375000000E+006, -7.29037039794E-003, +0.00000000000E+000
+7.12562500000E+006, -5.03537368607E-003, +0.00000000000E+000
+7.18750000000E+006, -6.54910088785E-003, +0.00000000000E+000
+7.24937500000E+006, -8.19034550751E-003, +0.00000000000E+000
+7.31125000000E+006, -5.80427452940E-003, +0.00000000000E+000
+7.37312500000E+006, -5.51828323613E-003, +0.00000000000E+000
+7.43500000000E+006, -5.41309403383E-003, +0.00000000000E+000
+7.49687500000E+006, -7.16725036535E-003, +0.00000000000E+000
+7.55875000000E+006, -5.45951724494E-003, +0.00000000000E+000
+7.62062500000E+006, -5.48228235811E-003, +0.00000000000E+000
+7.68250000000E+006, -5.36858998074E-003, +0.00000000000E+000
+7.74437500000E+006, -6.61638155308E-003, +0.00000000000E+000
+7.80625000000E+006, -7.73726628615E-003, +0.00000000000E+000
+7.86812500000E+006, -6.94118459374E-003, +0.00000000000E+000
+7.93000000000E+006, -4.80751337501E-003, +0.00000000000E+000
+7.99187500000E+006, -5.80454544569E-003, +0.00000000000E+000
+8.05375000000E+006, -7.60396257502E-003, +0.00000000000E+000
+8.11562500000E+006, -7.54056511749E-003, +0.00000000000E+000
+8.17750000000E+006, -8.61005649170E-003, +0.00000000000E+000
+8.23937500000E+006, -8.05727735158E-003, +0.00000000000E+000
+8.30125000000E+006, -9.06491977441E-003, +0.00000000000E+000
+8.36312500000E+006, -1.04743603412E-002, +0.00000000000E+000
+8.42500000000E+006, -9.41925829888E-003, +0.00000000000E+000
+8.48687500000E+006, -7.99216944214E-003, +0.00000000000E+000
+8.54875000000E+006, -9.27329843282E-003, +0.00000000000E+000
+8.61062500000E+006, -1.14315958911E-002, +0.00000000000E+000
+8.67250000000E+006, -1.06317149832E-002, +0.00000000000E+000
+8.73437500000E+006, -8.31616913577E-003, +0.00000000000E+000
+8.79625000000E+006, -1.00582784166E-002, +0.00000000000E+000
+8.85812500000E+006, -1.25184331638E-002, +0.00000000000E+000
+8.92000000000E+006, -1.26413130668E-002, +0.00000000000E+000
+8.98187500000E+006, -1.03385681014E-002, +0.00000000000E+000
+9.04375000000E+006, -8.88047191530E-003, +0.00000000000E+000
+9.10562500000E+006, -1.27132187189E-002, +0.00000000000E+000
+9.16750000000E+006, -1.27938071079E-002, +0.00000000000E+000
+9.22937500000E+006, -1.21799168758E-002, +0.00000000000E+000
+9.29125000000E+006, -1.06710465156E-002, +0.00000000000E+000
+9.35312500000E+006, -1.27186519895E-002, +0.00000000000E+000
+9.41500000000E+006, -1.36801060192E-002, +0.00000000000E+000
+9.47687500000E+006, -1.38693502023E-002, +0.00000000000E+000
+9.53875000000E+006, -1.07611954292E-002, +0.00000000000E+000
+9.60062500000E+006, -1.15999987767E-002, +0.00000000000E+000
+9.66250000000E+006, -1.41426828973E-002, +0.00000000000E+000
+9.72437500000E+006, -1.33977921687E-002, +0.00000000000E+000
+9.78625000000E+006, -1.23551431899E-002, +0.00000000000E+000
+9.84812500000E+006, -1.06192042768E-002, +0.00000000000E+000
+9.91000000000E+006, -1.16528506021E-002, +0.00000000000E+000
+9.97187500000E+006, -1.34348577150E-002, +0.00000000000E+000
+1.00337500000E+007, -1.34250998901E-002, +0.00000000000E+000
+1.00956250000E+007, -9.60998402679E-003, +0.00000000000E+000
+1.01575000000E+007, -1.03721564169E-002, +0.00000000000E+000
+1.02193750000E+007, -1.46940591536E-002, +0.00000000000E+000
+1.02812500000E+007, -1.44421447774E-002, +0.00000000000E+000
+1.03431250000E+007, -1.37515989925E-002, +0.00000000000E+000
+1.04050000000E+007, -9.97632248820E-003, +0.00000000000E+000
+1.04668750000E+007, -1.06733924808E-002, +0.00000000000E+000
+1.05287500000E+007, -1.33808317282E-002, +0.00000000000E+000
+1.05906250000E+007, -1.21963909502E-002, +0.00000000000E+000
+1.06525000000E+007, -1.21955902418E-002, +0.00000000000E+000
+1.07143750000E+007, -1.08812415314E-002, +0.00000000000E+000
+1.07762500000E+007, -1.39396226627E-002, +0.00000000000E+000
+1.08381250000E+007, -1.47642046012E-002, +0.00000000000E+000
+1.09000000000E+007, -1.31226749358E-002, +0.00000000000E+000
+1.09618750000E+007, -1.25350228193E-002, +0.00000000000E+000
+1.10237500000E+007, -1.32409779091E-002, +0.00000000000E+000
+1.10856250000E+007, -1.46650945256E-002, +0.00000000000E+000
+1.11475000000E+007, -1.49150557838E-002, +0.00000000000E+000
+1.12093750000E+007, -1.39752819757E-002, +0.00000000000E+000
+1.12712500000E+007, -1.16287255986E-002, +0.00000000000E+000
+1.13331250000E+007, -1.67888978014E-002, +0.00000000000E+000
+1.13950000000E+007, -1.55168666881E-002, +0.00000000000E+000
+1.14568750000E+007, -1.51145164919E-002, +0.00000000000E+000
+1.15187500000E+007, -1.37291030471E-002, +0.00000000000E+000
+1.15806250000E+007, -1.55417928034E-002, +0.00000000000E+000
+1.16425000000E+007, -1.82117516600E-002, +0.00000000000E+000
+1.17043750000E+007, -1.67361120484E-002, +0.00000000000E+000
+1.17662500000E+007, -1.56839718620E-002, +0.00000000000E+000
+1.18281250000E+007, -1.51736549294E-002, +0.00000000000E+000
+1.18900000000E+007, -1.79438320357E-002, +0.00000000000E+000
+1.19518750000E+007, -1.93606518354E-002, +0.00000000000E+000
+1.20137500000E+007, -1.63666317236E-002, +0.00000000000E+000
+1.20756250000E+007, -1.79378169793E-002, +0.00000000000E+000
+1.21375000000E+007, -1.76328198195E-002, +0.00000000000E+000
+1.21993750000E+007, -2.07174067917E-002, +0.00000000000E+000
+1.22612500000E+007, -1.90798802012E-002, +0.00000000000E+000
+1.23231250000E+007, -1.74062177125E-002, +0.00000000000E+000
+1.23850000000E+007, -1.80517374855E-002, +0.00000000000E+000
+1.24468750000E+007, -2.14962425534E-002, +0.00000000000E+000
+1.25087500000E+007, -2.16091556029E-002, +0.00000000000E+000
+1.25706250000E+007, -2.02750465982E-002, +0.00000000000E+000
+1.26325000000E+007, -1.84564326404E-002, +0.00000000000E+000
+1.26943750000E+007, -1.92832713651E-002, +0.00000000000E+000
+1.27562500000E+007, -2.18835709232E-002, +0.00000000000E+000
+1.28181250000E+007, -1.99245997726E-002, +0.00000000000E+000
+1.28800000000E+007, -1.99058248162E-002, +0.00000000000E+000
+1.29418750000E+007, -1.74063768083E-002, +0.00000000000E+000
+1.30037500000E+007, -2.04893747453E-002, +0.00000000000E+000
+1.30656250000E+007, -2.06267165389E-002, +0.00000000000E+000
+1.31275000000E+007, -1.99456146245E-002, +0.00000000000E+000
+1.31893750000E+007, -1.83637560970E-002, +0.00000000000E+000
+1.32512500000E+007, -1.84082104832E-002, +0.00000000000E+000
+1.33131250000E+007, -2.01419184906E-002, +0.00000000000E+000
+1.33750000000E+007, -2.07953281545E-002, +0.00000000000E+000
+1.34368750000E+007, -2.05539941961E-002, +0.00000000000E+000
+1.34987500000E+007, -1.91830436554E-002, +0.00000000000E+000
+1.35606250000E+007, -1.99766407852E-002, +0.00000000000E+000
+1.36225000000E+007, -2.08232622004E-002, +0.00000000000E+000
+1.36843750000E+007, -2.04922874082E-002, +0.00000000000E+000
+1.37462500000E+007, -2.05150467771E-002, +0.00000000000E+000
+1.38081250000E+007, -1.93675986805E-002, +0.00000000000E+000
+1.38700000000E+007, -2.10635815301E-002, +0.00000000000E+000
+1.39318750000E+007, -2.33157676626E-002, +0.00000000000E+000
+1.39937500000E+007, -2.08512610125E-002, +0.00000000000E+000
+1.40556250000E+007, -2.06259625845E-002, +0.00000000000E+000
+1.41175000000E+007, -1.99971754806E-002, +0.00000000000E+000
+1.41793750000E+007, -2.34928091969E-002, +0.00000000000E+000
+1.42412500000E+007, -2.30207658881E-002, +0.00000000000E+000
+1.43031250000E+007, -2.30534845833E-002, +0.00000000000E+000
+1.43650000000E+007, -2.14479344768E-002, +0.00000000000E+000
+1.44268750000E+007, -2.31511880608E-002, +0.00000000000E+000
+1.44887500000E+007, -2.57479318218E-002, +0.00000000000E+000
+1.45506250000E+007, -2.54672427183E-002, +0.00000000000E+000
+1.46125000000E+007, -2.28709833123E-002, +0.00000000000E+000
+1.46743750000E+007, -2.12315900102E-002, +0.00000000000E+000
+1.47362500000E+007, -2.38892113400E-002, +0.00000000000E+000
+1.47981250000E+007, -2.65013981321E-002, +0.00000000000E+000
+1.48600000000E+007, -2.71362329432E-002, +0.00000000000E+000
+1.49218750000E+007, -2.60896465638E-002, +0.00000000000E+000
+1.49837500000E+007, -2.53175065990E-002, +0.00000000000E+000
+1.50456250000E+007, -2.85437613551E-002, +0.00000000000E+000
+1.51075000000E+007, -2.88350066092E-002, +0.00000000000E+000
+1.51693750000E+007, -2.75954385406E-002, +0.00000000000E+000
+1.52312500000E+007, -2.68141211197E-002, +0.00000000000E+000
+1.52931250000E+007, -2.69724472514E-002, +0.00000000000E+000
+1.53550000000E+007, -3.11166627256E-002, +0.00000000000E+000
+1.54168750000E+007, -2.93914105996E-002, +0.00000000000E+000
+1.54787500000E+007, -2.96197369028E-002, +0.00000000000E+000
+1.55406250000E+007, -2.79507057363E-002, +0.00000000000E+000
+1.56025000000E+007, -2.97643583694E-002, +0.00000000000E+000
+1.56643750000E+007, -3.18270242564E-002, +0.00000000000E+000
+1.57262500000E+007, -3.01580276368E-002, +0.00000000000E+000
+1.57881250000E+007, -2.96664683616E-002, +0.00000000000E+000
+1.58500000000E+007, -2.86470440818E-002, +0.00000000000E+000
+1.59118750000E+007, -3.24311649172E-002, +0.00000000000E+000
+1.59737500000E+007, -3.19290512501E-002, +0.00000000000E+000
+1.60356250000E+007, -3.11038456217E-002, +0.00000000000E+000
+1.60975000000E+007, -3.06296430656E-002, +0.00000000000E+000
+1.61593750000E+007, -3.10909260276E-002, +0.00000000000E+000
+1.62212500000E+007, -3.45665089731E-002, +0.00000000000E+000
+1.62831250000E+007, -3.55133745422E-002, +0.00000000000E+000
+1.63450000000E+007, -3.28128973361E-002, +0.00000000000E+000
+1.64068750000E+007, -3.07218182107E-002, +0.00000000000E+000
+1.64687500000E+007, -3.33388842593E-002, +0.00000000000E+000
+1.65306250000E+007, -3.46069970649E-002, +0.00000000000E+000
+1.65925000000E+007, -3.51454560546E-002, +0.00000000000E+000
+1.66543750000E+007, -3.24707436106E-002, +0.00000000000E+000
+1.67162500000E+007, -3.32016312270E-002, +0.00000000000E+000
+1.67781250000E+007, -3.41612636586E-002, +0.00000000000E+000
+1.68400000000E+007, -3.56027368120E-002, +0.00000000000E+000
+1.69018750000E+007, -3.39882987805E-002, +0.00000000000E+000
+1.69637500000E+007, -3.33659626885E-002, +0.00000000000E+000
+1.70256250000E+007, -3.43192679668E-002, +0.00000000000E+000
+1.70875000000E+007, -3.49606378088E-002, +0.00000000000E+000
+1.71493750000E+007, -3.46820584010E-002, +0.00000000000E+000
+1.72112500000E+007, -3.34359868228E-002, +0.00000000000E+000
+1.72731250000E+007, -3.27810187241E-002, +0.00000000000E+000
+1.73350000000E+007, -3.70631657879E-002, +0.00000000000E+000
+1.73968750000E+007, -3.73997225338E-002, +0.00000000000E+000
+1.74587500000E+007, -3.82166783126E-002, +0.00000000000E+000
+1.75206250000E+007, -3.60997144849E-002, +0.00000000000E+000
+1.75825000000E+007, -3.67642718907E-002, +0.00000000000E+000
+1.76443750000E+007, -3.80181809067E-002, +0.00000000000E+000
+1.77062500000E+007, -3.84496625002E-002, +0.00000000000E+000
+1.77681250000E+007, -3.89833762968E-002, +0.00000000000E+000
+1.78300000000E+007, -3.76849474263E-002, +0.00000000000E+000
+1.78918750000E+007, -3.75336145667E-002, +0.00000000000E+000
+1.79537500000E+007, -4.16291560149E-002, +0.00000000000E+000
+1.80156250000E+007, -4.14172121047E-002, +0.00000000000E+000
+1.80775000000E+007, -3.98902522082E-002, +0.00000000000E+000
+1.81393750000E+007, -3.97744752072E-002, +0.00000000000E+000
+1.82012500000E+007, -4.23350080002E-002, +0.00000000000E+000
+1.82631250000E+007, -4.41409305307E-002, +0.00000000000E+000
+1.83250000000E+007, -4.21791140756E-002, +0.00000000000E+000
+1.83868750000E+007, -4.14254087863E-002, +0.00000000000E+000
+1.84487500000E+007, -4.13929414203E-002, +0.00000000000E+000
+1.85106250000E+007, -4.41985774216E-002, +0.00000000000E+000
+1.85725000000E+007, -4.50098032946E-002, +0.00000000000E+000
+1.86343750000E+007, -4.59331348175E-002, +0.00000000000E+000
+1.86962500000E+007, -4.31540985428E-002, +0.00000000000E+000
+1.87581250000E+007, -4.60876912354E-002, +0.00000000000E+000
+1.88200000000E+007, -4.67155279539E-002, +0.00000000000E+000
+1.88818750000E+007, -4.73575272315E-002, +0.00000000000E+000
+1.89437500000E+007, -4.58107290278E-002, +0.00000000000E+000
+1.90056250000E+007, -4.61901676235E-002, +0.00000000000E+000
+1.90675000000E+007, -4.92759673049E-002, +0.00000000000E+000
+1.91293750000E+007, -4.94149232923E-002, +0.00000000000E+000
+1.91912500000E+007, -4.99545817369E-002, +0.00000000000E+000
+1.92531250000E+007, -4.79634341769E-002, +0.00000000000E+000
+1.93150000000E+007, -4.85905372742E-002, +0.00000000000E+000
+1.93768750000E+007, -5.12637459034E-002, +0.00000000000E+000
+1.94387500000E+007, -5.21911131051E-002, +0.00000000000E+000
+1.95006250000E+007, -5.09125678481E-002, +0.00000000000E+000
+1.95625000000E+007, -5.06127298458E-002, +0.00000000000E+000
+1.96243750000E+007, -5.34809882072E-002, +0.00000000000E+000
+1.96862500000E+007, -5.44814322864E-002, +0.00000000000E+000
+1.97481250000E+007, -5.37377076624E-002, +0.00000000000E+000
+1.98100000000E+007, -5.23971529005E-002, +0.00000000000E+000
+1.98718750000E+007, -5.31730232228E-002, +0.00000000000E+000
+1.99337500000E+007, -5.57758282889E-002, +0.00000000000E+000
+1.99956250000E+007, -5.65213692908E-002, +0.00000000000E+000
+2.00575000000E+007, -5.63801624672E-002, +0.00000000000E+000
+2.01193750000E+007, -5.43130138171E-002, +0.00000000000E+000
+2.01812500000E+007, -5.50801784266E-002, +0.00000000000E+000
+2.02431250000E+007, -5.75929665284E-002, +0.00000000000E+000
+2.03050000000E+007, -5.80813911503E-002, +0.00000000000E+000
+2.03668750000E+007, -5.83786943836E-002, +0.00000000000E+000
+2.04287500000E+007, -5.66158702479E-002, +0.00000000000E+000
+2.04906250000E+007, -5.91793908875E-002, +0.00000000000E+000
+2.05525000000E+007, -5.93413286640E-002, +0.00000000000E+000
+2.06143750000E+007, -6.04864048851E-002, +0.00000000000E+000
+2.06762500000E+007, -5.92731214696E-002, +0.00000000000E+000
+2.07381250000E+007, -5.75462336476E-002, +0.00000000000E+000
+2.08000000000E+007, -6.16290676663E-002, +0.00000000000E+000
+2.08618750000E+007, -6.11511528739E-002, +0.00000000000E+000
+2.09237500000E+007, -6.16322441740E-002, +0.00000000000E+000
+2.09856250000E+007, -6.09123530398E-002, +0.00000000000E+000
+2.10475000000E+007, -6.04397701639E-002, +0.00000000000E+000
+2.11093750000E+007, -6.37398658289E-002, +0.00000000000E+000
+2.11712500000E+007, -6.37024371039E-002, +0.00000000000E+000
+2.12331250000E+007, -6.45104770577E-002, +0.00000000000E+000
+2.12950000000E+007, -6.49106755533E-002, +0.00000000000E+000
+2.13568750000E+007, -6.67292651716E-002, +0.00000000000E+000
+2.14187500000E+007, -6.74605134972E-002, +0.00000000000E+000
+2.14806250000E+007, -6.74242408686E-002, +0.00000000000E+000
+2.15425000000E+007, -6.72410351715E-002, +0.00000000000E+000
+2.16043750000E+007, -6.60007022770E-002, +0.00000000000E+000
+2.16662500000E+007, -6.98186512809E-002, +0.00000000000E+000
+2.17281250000E+007, -7.13109035178E-002, +0.00000000000E+000
+2.17900000000E+007, -6.99941262071E-002, +0.00000000000E+000
+2.18518750000E+007, -7.14107798354E-002, +0.00000000000E+000
+2.19137500000E+007, -7.28913503822E-002, +0.00000000000E+000
+2.19756250000E+007, -7.40149007637E-002, +0.00000000000E+000
+2.20375000000E+007, -7.47626457350E-002, +0.00000000000E+000
+2.20993750000E+007, -7.30922514537E-002, +0.00000000000E+000
+2.21612500000E+007, -7.29334920573E-002, +0.00000000000E+000
+2.22231250000E+007, -7.63194859077E-002, +0.00000000000E+000
+2.22850000000E+007, -7.74311456734E-002, +0.00000000000E+000
+2.23468750000E+007, -7.69647401847E-002, +0.00000000000E+000
+2.24087500000E+007, -7.72104047058E-002, +0.00000000000E+000
+2.24706250000E+007, -7.69042110857E-002, +0.00000000000E+000
+2.25325000000E+007, -8.03083812804E-002, +0.00000000000E+000
+2.25943750000E+007, -8.11289893504E-002, +0.00000000000E+000
+2.26562500000E+007, -8.09244815263E-002, +0.00000000000E+000
+2.27181250000E+007, -8.08370455601E-002, +0.00000000000E+000
+2.27800000000E+007, -8.26062225057E-002, +0.00000000000E+000
+2.28418750000E+007, -8.36261961971E-002, +0.00000000000E+000
+2.29037500000E+007, -8.34358851094E-002, +0.00000000000E+000
+2.29656250000E+007, -8.29670326334E-002, +0.00000000000E+000
+2.30275000000E+007, -8.41991594779E-002, +0.00000000000E+000
+2.30893750000E+007, -8.56006488913E-002, +0.00000000000E+000
+2.31512500000E+007, -8.73859581964E-002, +0.00000000000E+000
+2.32131250000E+007, -8.76825498832E-002, +0.00000000000E+000
+2.32750000000E+007, -8.64391687454E-002, +0.00000000000E+000
+2.33368750000E+007, -8.70688942556E-002, +0.00000000000E+000
+2.33987500000E+007, -9.01029213163E-002, +0.00000000000E+000
+2.34606250000E+007, -9.07783287346E-002, +0.00000000000E+000
+2.35225000000E+007, -8.96996504277E-002, +0.00000000000E+000
+2.35843750000E+007, -8.83260132384E-002, +0.00000000000E+000
+2.36462500000E+007, -9.02940093796E-002, +0.00000000000E+000
+2.37081250000E+007, -9.30953717082E-002, +0.00000000000E+000
+2.37700000000E+007, -9.18159565287E-002, +0.00000000000E+000
+2.38318750000E+007, -9.32848318316E-002, +0.00000000000E+000
+2.38937500000E+007, -9.30199161291E-002, +0.00000000000E+000
+2.39556250000E+007, -9.36761171493E-002, +0.00000000000E+000
+2.40175000000E+007, -9.72343576829E-002, +0.00000000000E+000
+2.40793750000E+007, -9.69991150843E-002, +0.00000000000E+000
+2.41412500000E+007, -9.67913947697E-002, +0.00000000000E+000
+2.42031250000E+007, -9.54212275235E-002, +0.00000000000E+000
+2.42650000000E+007, -9.82046295407E-002, +0.00000000000E+000
+2.43268750000E+007, -1.00528983881E-001, +0.00000000000E+000
+2.43887500000E+007, -9.97469735949E-002, +0.00000000000E+000
+2.44506250000E+007, -1.00368427689E-001, +0.00000000000E+000
+2.45125000000E+007, -1.00785196047E-001, +0.00000000000E+000
+2.45743750000E+007, -1.02985257662E-001, +0.00000000000E+000
+2.46362500000E+007, -1.04529006630E-001, +0.00000000000E+000
+2.46981250000E+007, -1.07074619012E-001, +0.00000000000E+000
+2.47600000000E+007, -1.04257861711E-001, +0.00000000000E+000
+2.48218750000E+007, -1.04286266034E-001, +0.00000000000E+000
+2.48837500000E+007, -1.07680193285E-001, +0.00000000000E+000
+2.49456250000E+007, -1.11497099961E-001, +0.00000000000E+000
+2.50075000000E+007, -1.11607299441E-001, +0.00000000000E+000
+2.50693750000E+007, -1.11280428102E-001, +0.00000000000E+000
+2.51312500000E+007, -1.09966902928E-001, +0.00000000000E+000
+2.51931250000E+007, -1.12731003646E-001, +0.00000000000E+000
+2.52550000000E+007, -1.16957513297E-001, +0.00000000000E+000
+2.53168750000E+007, -1.16788898965E-001, +0.00000000000E+000
+2.53787500000E+007, -1.17519587221E-001, +0.00000000000E+000
+2.54406250000E+007, -1.17183185294E-001, +0.00000000000E+000
+2.55025000000E+007, -1.19828134752E-001, +0.00000000000E+000
+2.55643750000E+007, -1.23765228988E-001, +0.00000000000E+000
+2.56262500000E+007, -1.23113284295E-001, +0.00000000000E+000
+2.56881250000E+007, -1.22882134336E-001, +0.00000000000E+000
+2.57500000000E+007, -1.24039792655E-001, +0.00000000000E+000
+2.58118750000E+007, -1.25021521194E-001, +0.00000000000E+000
+2.58737500000E+007, -1.28971805980E-001, +0.00000000000E+000
+2.59356250000E+007, -1.29884575548E-001, +0.00000000000E+000
+2.59975000000E+007, -1.29986987664E-001, +0.00000000000E+000
+2.60593750000E+007, -1.29075148140E-001, +0.00000000000E+000
+2.61212500000E+007, -1.31556202928E-001, +0.00000000000E+000
+2.61831250000E+007, -1.35596830221E-001, +0.00000000000E+000
+2.62450000000E+007, -1.36317913066E-001, +0.00000000000E+000
+2.63068750000E+007, -1.38022466148E-001, +0.00000000000E+000
+2.63687500000E+007, -1.38072488627E-001, +0.00000000000E+000
+2.64306250000E+007, -1.39258527679E-001, +0.00000000000E+000
+2.64925000000E+007, -1.42786275123E-001, +0.00000000000E+000
+2.65543750000E+007, -1.43399454703E-001, +0.00000000000E+000
+2.66162500000E+007, -1.43398715664E-001, +0.00000000000E+000
+2.66781250000E+007, -1.43363022490E-001, +0.00000000000E+000
+2.67400000000E+007, -1.47354805823E-001, +0.00000000000E+000
+2.68018750000E+007, -1.48236469100E-001, +0.00000000000E+000
+2.68637500000E+007, -1.49848701236E-001, +0.00000000000E+000
+2.69256250000E+007, -1.49773970223E-001, +0.00000000000E+000
