freq	mag(K)
8.30000000000000070E6	7.52986700117610040E-3
8.40000000000000040E6	7.62459119270836180E-3
8.50000000000000000E6	7.71941489308993760E-3
8.59999999999999960E6	7.81433825730000730E-3
8.69999999999999930E6	7.90936144064288630E-3
8.80000000000000070E6	8.00448459874887950E-3
8.90000000000000040E6	8.09970788757516400E-3
9.00000000000000000E6	8.19503146340662520E-3
9.09999999999999960E6	8.29045548285671610E-3
9.19999999999999930E6	8.38598010286834140E-3
9.30000000000000070E6	8.48160548071470540E-3
9.40000000000000040E6	8.57733177400016440E-3
9.50000000000000000E6	8.67315914066116460E-3
9.59999999999999960E6	8.76908773896703590E-3
9.69999999999999930E6	8.86511772752092320E-3
9.80000000000000070E6	8.96124926526064950E-3
9.90000000000000040E6	9.05748251145959670E-3
1.00000000000000000E7	9.15381762572759070E-3
1.01000000000000000E7	9.25525465782133060E-3
1.02000000000000000E7	9.35700992497928220E-3
1.03000000000000000E7	9.45907652450111950E-3
1.04000000000000000E7	9.56148538234058340E-3
1.05000000000000000E7	9.66420372621354320E-3
1.06000000000000010E7	9.76727006895286640E-3
1.06999999999999980E7	9.87068407235101830E-3
1.08000000000000010E7	9.97444446400332830E-3
1.09000000000000010E7	1.00785461318790430E-2
1.10000000000000010E7	1.01830085460909300E-2
1.10999999999999990E7	1.02878131322759110E-2
1.11999999999999990E7	1.03929867633763710E-2
1.13000000000000010E7	1.04985521116294020E-2
1.14000000000000010E7	1.06044986215829500E-2
1.14999999999999990E7	1.07108001613374570E-2
1.15999999999999990E7	1.08174862071498290E-2
1.16999999999999990E7	1.09245630500754820E-2
1.18000000000000020E7	1.10318416818286340E-2
1.18999999999999990E7	1.11396940325775850E-2
1.20000000000000000E7	1.12479589955225620E-2
1.21000000000000000E7	1.13566341126647720E-2
1.22000000000000000E7	1.14656859720168790E-2
1.23000000000000000E7	1.15751647903389900E-2
1.24000000000000000E7	1.16850929822084780E-2
1.25000000000000000E7	1.17954752276405480E-2
1.26000000000000000E7	1.19065105550479600E-2
1.27000000000000000E7	1.20177190482283240E-2
1.28000000000000000E7	1.21293836936457540E-2
1.29000000000000000E7	1.22414990012366380E-2
1.30000000000000000E7	1.23540617037345140E-2
1.31000000000000010E7	1.24671041160528780E-2
1.31999999999999980E7	1.25805932452039190E-2
1.33000000000000010E7	1.26946222727014150E-2
1.34000000000000010E7	1.28091441276642070E-2
1.35000000000000010E7	1.29241679132856020E-2
1.35999999999999990E7	1.30397221441257870E-2
1.36999999999999990E7	1.31557032528990230E-2
1.38000000000000010E7	1.32722259589953960E-2
1.39000000000000010E7	1.33892841941124830E-2
1.39999999999999990E7	1.35068725711528390E-2
1.40999999999999990E7	1.36247266378564720E-2
1.41999999999999990E7	1.37433197940332130E-2
1.43000000000000020E7	1.38624921638533040E-2
1.43999999999999990E7	1.39822092404762400E-2
1.45000000000000000E7	1.41025454080296830E-2
1.46000000000000000E7	1.42234152004715120E-2
1.47000000000000000E7	1.43447848733182480E-2
1.48000000000000000E7	1.44667766799318540E-2
1.49000000000000000E7	1.45893996771647940E-2
1.50000000000000000E7	1.47126347740271110E-2
1.51000000000000000E7	1.48364280072042880E-2
1.52000000000000000E7	1.49606239939816700E-2
1.53000000000000000E7	1.50854966829802170E-2
1.54000000000000000E7	1.52110064396746130E-2
1.55000000000000000E7	1.53370898191129680E-2
1.56000000000000010E7	1.54637975602041510E-2
1.56999999999999980E7	1.55917352247163250E-2
1.58000000000000010E7	1.57197103742026000E-2
1.59000000000000010E7	1.58484437457708020E-2
1.60000000000000010E7	1.59777887654647070E-2
1.61000000000000010E7	1.61079131029330070E-2
1.61999999999999990E7	1.62387292605607600E-2
1.63000000000000010E7	1.63702033999880010E-2
1.63999999999999990E7	1.65024858985047770E-2
1.64999999999999990E7	1.66354668375083150E-2
1.66000000000000010E7	1.67691194699186630E-2
1.66999999999999990E7	1.69034218661568650E-2
1.68000000000000020E7	1.70386267161565370E-2
1.68999999999999990E7	1.71745375273834980E-2
1.70000000000000000E7	1.73112966970271010E-2
1.71000000000000020E7	1.74489683369120390E-2
1.72000000000000000E7	1.75866412835227610E-2
1.73000000000000000E7	1.77258242704162480E-2
1.73999999999999980E7	1.78658995368458530E-2
1.75000000000000000E7	1.80067721651220800E-2
1.76000000000000020E7	1.81485159132603010E-2
1.77000000000000000E7	1.82910401596356120E-2
1.78000000000000000E7	1.84344232545770900E-2
1.78999999999999980E7	1.85787365033389800E-2
1.80000000000000000E7	1.87236568172973250E-2
1.81000000000000010E7	1.88693900557739490E-2
1.81999999999999980E7	1.90159846372798680E-2
1.83000000000000010E7	1.91646722008197750E-2
1.83999999999999990E7	1.93130562603886060E-2
1.85000000000000010E7	1.94624840113043240E-2
1.86000000000000010E7	1.96127581557785540E-2
1.86999999999999990E7	1.97639992725782850E-2
1.88000000000000010E7	1.99154903485454190E-2
1.88999999999999990E7	2.00686420325548550E-2
1.89999999999999990E7	2.02228108690076610E-2
1.91000000000000010E7	2.03780088977428250E-2
1.91999999999999990E7	2.05341453150257760E-2
1.93000000000000020E7	2.06925952765115320E-2
1.93999999999999990E7	2.08507885421151860E-2
1.95000000000000000E7	2.10101621031963680E-2
1.96000000000000020E7	2.11706310400463370E-2
1.97000000000000000E7	2.13321081101392630E-2
1.98000000000000000E7	2.14947539928048710E-2
1.98999999999999980E7	2.16588266235035490E-2
2.00000000000000000E7	2.18241193379168990E-2
2.01000000000000020E7	2.19905508897482260E-2
2.02000000000000000E7	2.21581270970876030E-2
2.03000000000000020E7	2.23257197382651910E-2
2.04000000000000000E7	2.24955991772589310E-2
2.04999999999999980E7	2.26667107129796590E-2
2.06000000000000010E7	2.28392275154117150E-2
2.06999999999999980E7	2.30128986473367770E-2
2.08000000000000010E7	2.31877462291719110E-2
2.08999999999999990E7	2.33639024292484090E-2
2.10000000000000010E7	2.35415588546175010E-2
2.11000000000000030E7	2.37202986790483990E-2
2.12000000000000010E7	2.39005225019317090E-2
2.12999999999999990E7	2.40820539431608040E-2
2.13999999999999970E7	2.42651380919839180E-2
2.14999999999999990E7	2.44493165864480310E-2
2.16000000000000010E7	2.46351920705013510E-2
2.16999999999999990E7	2.48223070603928610E-2
2.18000000000000020E7	2.50105533267481350E-2
2.18999999999999990E7	2.52028349057062910E-2
2.20000000000000020E7	2.53939037041752200E-2
2.21000000000000000E7	2.55868455247404380E-2
2.21999999999999980E7	2.57809732320684760E-2
2.23000000000000000E7	2.59767840349737970E-2
2.23999999999999980E7	2.61742452671255330E-2
2.25000000000000000E7	2.63734958875513300E-2
2.26000000000000020E7	2.65741774956521140E-2
2.27000000000000000E7	2.67770391248009790E-2
2.28000000000000020E7	2.69815823205625450E-2
2.29000000000000000E7	2.71879906793464700E-2
2.29999999999999980E7	2.73964096012060580E-2
2.31000000000000010E7	2.76062551879388000E-2
2.31999999999999980E7	2.78181038914304410E-2
2.33000000000000010E7	2.80315228827115080E-2
2.33999999999999990E7	2.82472360154026840E-2
2.35000000000000010E7	2.84655135669362110E-2
2.36000000000000030E7	2.86853467138576910E-2
2.37000000000000010E7	2.89069820374383780E-2
2.37999999999999990E7	2.91307288740025250E-2
2.38999999999999970E7	2.93564478731799690E-2
2.39999999999999990E7	2.95846967331527780E-2
2.41000000000000010E7	2.98147903468459270E-2
2.41999999999999990E7	3.00465741317014070E-2
2.43000000000000020E7	3.02812989800045560E-2
2.43999999999999990E7	3.05180858379269800E-2
2.45000000000000020E7	3.07567391225741640E-2
2.46000000000000000E7	3.09973890817222310E-2
2.46999999999999980E7	3.12405002293829570E-2
2.48000000000000000E7	3.14860372232537160E-2
2.48999999999999980E7	3.17336205076979860E-2
2.50000000000000000E7	3.19835370019076580E-2
2.51000000000000020E7	3.22365298505029240E-2
2.52000000000000000E7	3.24920211355026910E-2
2.53000000000000020E7	3.27497631885539600E-2
2.54000000000000000E7	3.30101611499215600E-2
2.54999999999999980E7	3.32729593717775440E-2
2.56000000000000010E7	3.35384133679553290E-2
2.56999999999999980E7	3.38066552851570900E-2
2.58000000000000010E7	3.40774557427992250E-2
2.58999999999999990E7	3.43516490759235540E-2
2.60000000000000010E7	3.46283345989941170E-2
2.61000000000000030E7	3.49082090312678560E-2
2.62000000000000010E7	3.51905269123018890E-2
2.62999999999999990E7	3.54763833047614520E-2
