freq	mag(K)
1.18000000000000020E7	4.06141234530115100E-2
1.18999999999999990E7	4.10105306882916930E-2
1.20000000000000000E7	4.14084306932427900E-2
1.21000000000000000E7	4.18078267669434740E-2
1.22000000000000000E7	4.22085860207436700E-2
1.23000000000000000E7	4.26108980752874530E-2
1.24000000000000000E7	4.30148336772641660E-2
1.25000000000000000E7	4.34204162031091290E-2
1.26000000000000000E7	4.38283872169381630E-2
1.27000000000000000E7	4.42369724939256060E-2
1.28000000000000000E7	4.46472100991957270E-2
1.29000000000000000E7	4.50590784539283180E-2
1.30000000000000000E7	4.54725634346956030E-2
1.31000000000000010E7	4.58877920537331630E-2
1.31999999999999980E7	4.63046476149752980E-2
1.33000000000000010E7	4.67234695773714390E-2
1.34000000000000010E7	4.71440698413196650E-2
1.35000000000000010E7	4.75664839854719370E-2
1.35999999999999990E7	4.79908274711685670E-2
1.36999999999999990E7	4.84167203772522200E-2
1.38000000000000010E7	4.88445766481507610E-2
1.39000000000000010E7	4.92743641601098940E-2
1.39999999999999990E7	4.97060743324197500E-2
1.40999999999999990E7	5.01387308433497210E-2
1.41999999999999990E7	5.05740820227007950E-2
1.43000000000000020E7	5.10115381642052860E-2
1.43999999999999990E7	5.14509467268160400E-2
1.45000000000000000E7	5.18926064955777380E-2
1.46000000000000000E7	5.23361933645682240E-2
1.47000000000000000E7	5.27815998932247420E-2
1.48000000000000000E7	5.32292575618104280E-2
1.49000000000000000E7	5.36791963774405630E-2
1.50000000000000000E7	5.41313396032437130E-2
1.51000000000000000E7	5.45855068869808500E-2
1.52000000000000000E7	5.50411501403346650E-2
1.53000000000000000E7	5.54992388610623520E-2
1.54000000000000000E7	5.59596187829282330E-2
1.55000000000000000E7	5.64220699761544610E-2
1.56000000000000010E7	5.68867763952780960E-2
1.56999999999999980E7	5.73559847424053880E-2
1.58000000000000010E7	5.78253056859234870E-2
1.59000000000000010E7	5.82973445134186190E-2
1.60000000000000010E7	5.87715929028954060E-2
1.61000000000000010E7	5.92486452987095010E-2
1.61999999999999990E7	5.97282144395245940E-2
1.63000000000000010E7	6.02101475425260270E-2
1.63999999999999990E7	6.06949888430863460E-2
1.64999999999999990E7	6.11823399322948270E-2
1.66000000000000010E7	6.16721185284227860E-2
1.66999999999999990E7	6.21642686171651530E-2
1.68000000000000020E7	6.26596802465405830E-2
1.68999999999999990E7	6.31576052735871760E-2
1.70000000000000000E7	6.36585988594904870E-2
1.71000000000000020E7	6.41629261434728450E-2
1.72000000000000000E7	6.46672018150280530E-2
1.73000000000000000E7	6.51769984988708370E-2
1.73999999999999980E7	6.56899638184807430E-2
1.75000000000000000E7	6.62057941725871400E-2
1.76000000000000020E7	6.67248076917054610E-2
1.77000000000000000E7	6.72466393527859910E-2
1.78000000000000000E7	6.77715632605755310E-2
1.78999999999999980E7	6.82998093771297030E-2
1.80000000000000000E7	6.88302328961258960E-2
1.81000000000000010E7	6.93635904996623860E-2
1.81999999999999980E7	6.99000959962967630E-2
1.83000000000000010E7	7.04442396523364420E-2
1.83999999999999990E7	7.09871369491917290E-2
1.85000000000000010E7	7.15337838151122090E-2
1.86000000000000010E7	7.20835027019423260E-2
1.86999999999999990E7	7.26367248090455500E-2
1.88000000000000010E7	7.31908106897957110E-2
1.88999999999999990E7	7.37508602641948040E-2
1.89999999999999990E7	7.43145371705846890E-2
1.91000000000000010E7	7.48819366898990600E-2
1.91999999999999990E7	7.54527038674428050E-2
1.93000000000000020E7	7.60319284671929910E-2
1.93999999999999990E7	7.66101035380538060E-2
1.95000000000000000E7	7.71925050352550990E-2
1.96000000000000020E7	7.77788020613905220E-2
1.97000000000000000E7	7.83687578651058910E-2
1.98000000000000000E7	7.89629745355845270E-2
1.98999999999999980E7	7.95623463679697100E-2
2.00000000000000000E7	8.01660078143039990E-2
2.01000000000000020E7	8.07737586939520470E-2
2.02000000000000000E7	8.13857144050681570E-2
2.03000000000000020E7	8.19975802433163990E-2
2.04000000000000000E7	8.26177575105635680E-2
2.04999999999999980E7	8.32423015923677670E-2
2.06000000000000010E7	8.38718686907182760E-2
2.06999999999999980E7	8.45056006010407930E-2
2.08000000000000010E7	8.51435702323563070E-2
2.08999999999999990E7	8.57861979365031500E-2
2.10000000000000010E7	8.64340882078563230E-2
2.11000000000000030E7	8.70857942224264470E-2
2.12000000000000010E7	8.77429592385091080E-2
2.12999999999999990E7	8.84048379310390150E-2
2.13999999999999970E7	8.90721637395163770E-2
2.14999999999999990E7	8.97433392197801180E-2
2.16000000000000010E7	9.04205376083764460E-2
2.16999999999999990E7	9.11023558271911680E-2
2.18000000000000020E7	9.17882223014261100E-2
2.18999999999999990E7	9.24887105751484210E-2
2.20000000000000020E7	9.31844722647106140E-2
2.21000000000000000E7	9.38869672711542510E-2
2.21999999999999980E7	9.45937230893397360E-2
2.23000000000000000E7	9.53066436297197050E-2
2.23999999999999980E7	9.60253737359539270E-2
2.25000000000000000E7	9.67503461626322900E-2
2.26000000000000020E7	9.74803960978800000E-2
2.27000000000000000E7	9.82182961642660860E-2
2.28000000000000020E7	9.89623275156707470E-2
2.29000000000000000E7	9.97128233312919400E-2
2.29999999999999980E7	1.00470423332403900E-1
2.31000000000000010E7	1.01233037099810170E-1
2.31999999999999980E7	1.02002876753408270E-1
2.33000000000000010E7	1.02778358719977910E-1
2.33999999999999990E7	1.03561905157653490E-1
2.35000000000000010E7	1.04354340081765780E-1
2.36000000000000030E7	1.05152338456365820E-1
2.37000000000000010E7	1.05956983367473570E-1
2.37999999999999990E7	1.06769068208699160E-1
2.38999999999999970E7	1.07587842696475740E-1
2.39999999999999990E7	1.08415523043766830E-1
2.41000000000000010E7	1.09250157853698890E-1
2.41999999999999990E7	1.10090706500733850E-1
2.43000000000000020E7	1.10941395390380190E-1
2.43999999999999990E7	1.11799183787318570E-1
2.45000000000000020E7	1.12663965371423340E-1
2.46000000000000000E7	1.13535945046497180E-1
2.46999999999999980E7	1.14416223420258010E-1
2.48000000000000000E7	1.15305118992903610E-1
2.48999999999999980E7	1.16201562855105720E-1
2.50000000000000000E7	1.17106150352547810E-1
2.51000000000000020E7	1.18021311481120030E-1
2.52000000000000000E7	1.18945185501184160E-1
2.53000000000000020E7	1.19877389813557530E-1
2.54000000000000000E7	1.20818851486221600E-1
2.54999999999999980E7	1.21768501489483190E-1
2.56000000000000010E7	1.22727402683288320E-1
2.56999999999999980E7	1.23696531592337710E-1
2.58000000000000010E7	1.24674734688504390E-1
2.58999999999999990E7	1.25664313290302370E-1
2.60000000000000010E7	1.26662551850366790E-1
2.61000000000000030E7	1.27672301834844790E-1
2.62000000000000010E7	1.28690829684077060E-1
2.62999999999999990E7	1.29721412266074790E-1
2.63999999999999970E7	1.30763995271711940E-1
2.64999999999999990E7	1.31816405977853360E-1
2.66000000000000010E7	1.32880774799270630E-1
2.66999999999999990E7	1.33957194402502510E-1
2.68000000000000020E7	1.35044728792968760E-1
2.68999999999999990E7	1.36142385596555520E-1
2.70000000000000020E7	1.37256303353423110E-1
2.71000000000000000E7	1.38379119957266280E-1
2.71999999999999980E7	1.39516593137347460E-1
2.73000000000000000E7	1.40665474016439030E-1
2.73999999999999980E7	1.41829745043577950E-1
2.75000000000000000E7	1.43007712462354460E-1
2.76000000000000020E7	1.44200694354261930E-1
2.77000000000000000E7	1.45404035674343100E-1
2.78000000000000020E7	1.46622293957563300E-1
2.79000000000000000E7	1.47857928966136360E-1
2.79999999999999980E7	1.49107819756289860E-1
2.81000000000000010E7	1.50369442102510660E-1
2.81999999999999980E7	1.51649726300530970E-1
2.83000000000000010E7	1.52940663582017320E-1
2.83999999999999990E7	1.54250868887284610E-1
2.85000000000000010E7	1.55576809171721010E-1
2.86000000000000030E7	1.56921770138599400E-1
2.87000000000000010E7	1.58283528291261380E-1
2.87999999999999990E7	1.59660963577937930E-1
2.88999999999999970E7	1.61055508069247550E-1
2.89999999999999990E7	1.62467646942174900E-1
2.91000000000000010E7	1.63897349032519820E-1
2.91999999999999990E7	1.65343126955118520E-1
2.93000000000000020E7	1.66805474072582080E-1
2.93999999999999990E7	1.68285296677439740E-1
2.95000000000000020E7	1.69783991342156270E-1
2.96000000000000000E7	1.71304559548870580E-1
2.96999999999999980E7	1.72846864258421020E-1
2.98000000000000000E7	1.74405275905592560E-1
2.98999999999999980E7	1.75986516279772510E-1
3.00000000000000000E7	1.77593048509457560E-1
3.01000000000000020E7	1.79215530509101460E-1
3.02000000000000000E7	1.80870140740859830E-1
3.03000000000000020E7	1.82555880988232340E-1
3.04000000000000000E7	1.84255133164561410E-1
3.04999999999999980E7	1.85979633235930870E-1
3.06000000000000010E7	1.87733353464136420E-1
3.06999999999999980E7	1.89513770771776360E-1
3.08000000000000010E7	1.91316507465090860E-1
3.08999999999999990E7	1.93146799255029780E-1
3.10000000000000010E7	1.95004780895268180E-1
3.11000000000000030E7	1.96891728680662710E-1
3.12000000000000010E7	1.98809021085060800E-1
3.12999999999999990E7	2.00748639643189990E-1
3.13999999999999970E7	2.02724388430366260E-1
3.14999999999999990E7	2.04726912330082470E-1
3.16000000000000010E7	2.06763271907060590E-1
3.16999999999999990E7	2.08828162206566100E-1
3.18000000000000020E7	2.10926163562478310E-1
3.18999999999999990E7	2.13063799042485870E-1
3.20000000000000020E7	2.15232752609908040E-1
3.21000000000000000E7	2.17445078801823750E-1
3.22000000000000020E7	2.19694533887125760E-1
3.22999999999999950E7	2.21976810068550680E-1
3.23999999999999980E7	2.24298780464403170E-1
3.25000000000000000E7	2.26659511556462110E-1
3.26000000000000020E7	2.29064177735222960E-1
3.27000000000000050E7	2.31505168285338400E-1
3.27999999999999980E7	2.33993702550330870E-1
3.29000000000000000E7	2.36529190459379720E-1
3.29999999999999980E7	2.39086615244224190E-1
3.31000000000000010E7	2.41699149417218620E-1
3.32000000000000030E7	2.44344541145866190E-1
3.32999999999999960E7	2.47051843918741200E-1
3.33999999999999990E7	2.49803086317878000E-1
3.35000000000000010E7	2.52609331037041860E-1
3.36000000000000030E7	2.55462529365903590E-1
3.37000000000000010E7	2.58363448758680650E-1
3.37999999999999990E7	2.61325616247154540E-1
3.38999999999999970E7	2.64357425300779660E-1
3.39999999999999990E7	2.67460529548618190E-1
3.41000000000000010E7	2.70610858990786960E-1
3.42000000000000040E7	2.73820628582765750E-1
3.42999999999999970E7	2.77116643898356290E-1
3.43999999999999990E7	2.80458921281019390E-1
3.45000000000000020E7	2.83884802677489430E-1
3.46000000000000000E7	2.87384190426587920E-1
3.47000000000000020E7	2.90945803701207640E-1
3.47999999999999950E7	2.94582942522032590E-1
3.48999999999999980E7	2.98298424644053830E-1
3.50000000000000000E7	3.02098681798575800E-1
3.51000000000000020E7	3.05977549169771870E-1
3.52000000000000050E7	3.09938346346090790E-1
3.52999999999999980E7	3.13983618440775870E-1
3.54000000000000000E7	3.18132627551079320E-1
3.54999999999999980E7	3.22366172794385260E-1
3.56000000000000010E7	3.26688132843533770E-1
3.57000000000000030E7	3.31102528951270170E-1
3.57999999999999960E7	3.35608688994471740E-1
3.58999999999999990E7	3.40241027526038970E-1
3.60000000000000010E7	3.44960659287281770E-1
3.61000000000000030E7	3.49789128869602100E-1
3.62000000000000010E7	3.54734629617819540E-1
3.62999999999999990E7	3.59788285061479840E-1
3.63999999999999970E7	3.64980505058328750E-1
3.64999999999999990E7	3.70294129840366140E-1
3.66000000000000010E7	3.75770712840611940E-1
3.67000000000000040E7	3.81316814739981740E-1
3.67999999999999970E7	3.87117020854021290E-1
3.68999999999999990E7	3.93011519345971160E-1
3.70000000000000020E7	3.99107833351896300E-1
3.71000000000000000E7	4.05303679085256970E-1
3.72000000000000020E7	4.11711577854264550E-1
3.72999999999999950E7	4.18254290510893600E-1
3.73999999999999980E7	4.24996714185594810E-1
3.75000000000000000E7	4.31936140189346230E-1
3.76000000000000020E7	4.39018679300728110E-1
3.77000000000000050E7	4.46275737846061200E-1
3.77999999999999980E7	4.53751616028114310E-1
3.79000000000000000E7	4.61437921025484420E-1
3.79999999999999980E7	4.69273695823923460E-1
3.81000000000000010E7	4.77373731747514900E-1
3.82000000000000030E7	4.85717415902514470E-1
